ProductID,ProductName,Category,Price
1,Fall Pm,Electronics,852.7
2,Adult Run,Home Appliances,890.97
3,Age Plan,Beauty,1131.38
4,With Little,Clothing,1944.13
5,Without Value,Books,876.98
6,Teach Growth,Home Appliances,938.33
7,War Fire,Clothing,329.95
8,Hour Idea,Beauty,1440.86
9,College Despite,Electronics,122.5
10,Throughout Suddenly,Home Appliances,1604.09
11,Although Suggest,Beauty,491.87
12,Turn Him,Electronics,934.47
13,Front Become,Clothing,630.57
14,Trip Everybody,Clothing,1408.24
15,Allow People,Beauty,346.77
16,Believe Page,Beauty,983.62
17,Face Run,Clothing,822.93
18,Trade Son,Beauty,292.79
19,Candidate Recently,Clothing,1700.37
20,On Always,Home Appliances,1858.01
